日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-08-06,8.53,8.55,8.48,8.51,7758167.0,65902316.85,-0.4678,000721
2025-08-07,8.51,8.53,8.48,8.5,6138200.0,52188359.0,-0.1175,000721
2025-08-08,8.5,8.52,8.46,8.51,8130902.0,69082543.98,0.1176,000721
2025-08-11,8.51,8.54,8.44,8.53,8933159.0,75970974.27,0.235,000721
2025-08-12,8.53,8.59,8.52,8.57,9870718.0,84467791.9,0.4689,000721
2025-08-13,8.76,8.82,8.59,8.6,18674366.0,161861933.62,0.3501,000721
2025-08-14,8.61,9.29,8.56,8.89,51086287.0,457164075.74,3.3721,000721
2025-08-15,8.77,8.91,8.7,8.88,26384714.0,233283217.14,-0.1125,000721
2025-08-18,8.87,9.04,8.83,8.96,32104214.0,286829922.98,0.9009,000721
2025-08-19,9.02,9.05,8.88,8.95,23245449.0,208460762.28,-0.1116,000721
2025-08-20,8.93,9.85,8.89,9.85,60929036.0,577448682.46,10.0559,000721
2025-08-21,9.84,10.8,9.61,9.83,116358353.0,1173179284.64,-0.203,000721
2025-08-22,9.97,10.49,9.66,10.17,93354546.0,941931338.26,3.4588,000721
2025-08-25,10.11,10.95,10.11,10.44,93630966.0,979021996.35,2.6549,000721
2025-08-26,10.39,10.65,10.17,10.51,81461556.0,842551601.42,0.6705,000721
2025-08-27,10.31,10.43,9.95,10.23,74673811.0,763313840.63,-2.6641,000721
2025-08-28,10.16,10.4,10.0,10.04,51120250.0,520914854.02,-1.8573,000721
2025-08-29,10.0,10.6,9.99,10.43,74593741.0,771773931.64,3.8845,000721
2025-09-01,10.27,11.14,10.25,10.55,82118708.0,879796518.61,1.1505,000721
2025-09-02,10.56,10.88,10.36,10.62,77049840.0,819237282.54,0.6635,000721
2025-09-03,10.6,10.76,10.13,10.16,55383514.0,575607338.18,-4.3315,000721
2025-09-04,10.27,10.49,10.04,10.3,55279899.0,569622159.95,1.378,000721
2025-09-05,10.28,10.3,9.83,10.22,46936451.0,473573526.21,-0.7767,000721
2025-09-08,10.21,10.33,10.02,10.05,35414056.0,358928141.09,-1.6634,000721
2025-09-09,10.1,10.15,9.92,10.01,29645911.0,296270336.16,-0.398,000721
2025-09-10,9.99,10.27,9.94,10.2,41511367.0,422775725.21,1.8981,000721
2025-09-11,10.16,10.45,10.01,10.45,50847692.0,522569348.48,2.451,000721
2025-09-12,10.39,10.55,10.26,10.28,35392604.0,366497046.4,-1.6268,000721
2025-09-15,10.16,10.44,10.04,10.36,35329307.0,363818483.52,0.7782,000721
2025-09-16,10.44,10.66,10.23,10.64,51045687.0,532461650.28,2.7027,000721
2025-09-17,10.6,10.79,10.3,10.32,48255213.0,502432546.81,-3.0075,000721
2025-09-18,10.28,11.3,10.1,10.83,105937399.0,1134060592.68,4.9419,000721
2025-09-19,10.6,11.3,10.41,10.92,97556324.0,1059920925.62,0.831,000721
2025-09-22,10.8,10.82,10.18,10.25,61606410.0,645525233.83,-6.1355,000721
2025-09-23,10.08,10.08,9.23,9.35,57791525.0,548609413.54,-8.7805,000721
2025-09-24,9.16,9.5,9.13,9.37,33018379.0,306406233.07,0.2139,000721
2025-09-25,9.29,9.34,9.05,9.19,31953353.0,293780265.3,-1.921,000721
2025-09-26,9.19,9.19,8.97,8.97,23988679.0,217309499.45,-2.3939,000721
2025-09-29,8.96,9.11,8.8,9.05,22540653.0,202606767.93,0.8919,000721
2025-09-30,9.14,9.14,8.98,8.98,19976780.0,180353035.98,-0.7735,000721
2025-10-09,8.88,8.9,8.61,8.66,29363536.0,254686840.74,-3.5635,000721
2025-10-10,8.66,8.78,8.65,8.66,16302702.0,141883960.42,0.0,000721
2025-10-13,8.47,8.63,8.38,8.62,15769514.0,134688261.84,-0.4619,000721
2025-10-14,8.6,8.75,8.6,8.65,17986374.0,156044166.16,0.348,000721
2025-10-15,8.73,8.75,8.62,8.71,13382460.0,116457067.41,0.6936,000721
2025-10-16,8.71,8.78,8.57,8.6,13412425.0,116021470.5,-1.2629,000721
2025-10-17,8.56,8.69,8.51,8.51,12559599.0,108079709.2,-1.0465,000721
2025-10-20,8.56,8.65,8.53,8.64,10206199.0,87781191.39,1.5276,000721
2025-10-21,8.63,8.7,8.57,8.7,11659373.0,100958458.89,0.6944,000721
2025-10-22,8.68,8.79,8.66,8.74,12926814.0,112986540.08,0.4598,000721
2025-10-23,8.69,8.8,8.67,8.79,13412101.0,117451012.72,0.5721,000721
2025-10-24,8.8,8.83,8.67,8.69,13386100.0,116949993.0,-1.1377,000721
2025-10-27,8.68,8.72,8.59,8.67,14169965.0,122485806.8,-0.2301,000721
2025-10-28,8.67,8.7,8.61,8.61,11617300.0,100325541.0,-0.692,000721
2025-10-29,8.61,8.62,8.51,8.59,10636100.0,91049767.0,-0.2323,000721
2025-10-30,8.58,8.59,8.44,8.44,14638825.0,124507288.25,-1.7462,000721
2025-10-31,8.44,8.6,8.44,8.59,14114200.0,120869925.0,1.7773,000721
2025-11-03,8.61,8.75,8.59,8.75,13840018.0,120047521.98,1.8626,000721
2025-11-04,8.74,8.79,8.65,8.76,15035799.0,131208399.84,0.1143,000721
2025-11-05,8.75,8.91,8.71,8.83,21820040.0,193043355.6,0.7991,000721
2025-11-06,8.78,8.79,8.63,8.69,15651500.0,135724771.77,-1.5855,000721
2025-11-07,8.71,9.09,8.69,8.94,38663707.0,345011119.2,2.8769,000721
2025-11-10,8.94,9.5,8.82,9.37,53109743.0,490209117.4,4.8098,000721
2025-11-11,9.22,9.45,9.18,9.4,38693881.0,361384946.0,0.3202,000721
2025-11-12,9.38,9.45,9.16,9.18,27865252.0,257698613.47,-2.3404,000721
2025-11-13,9.17,9.21,9.06,9.16,23943152.0,218416805.56,-0.2179,000721
2025-11-14,9.13,9.29,9.05,9.06,18479691.0,168873813.2,-1.0917,000721
2025-11-17,9.05,9.14,9.01,9.13,13287418.0,120954854.9,0.7726,000721
2025-11-18,9.11,9.12,8.93,8.99,15269618.0,137361939.28,-1.5334,000721
2025-11-19,8.99,9.15,8.88,9.05,18005706.0,162388169.52,0.6674,000721
2025-11-20,9.03,9.04,8.77,8.79,17889349.0,158343494.92,-2.8729,000721
2025-11-21,8.67,8.85,8.53,8.54,16491318.0,142448799.28,-2.8441,000721
2025-11-24,8.57,8.8,8.55,8.77,14795508.0,128448155.92,2.6932,000721
2025-11-25,8.77,8.83,8.73,8.8,13247900.0,116247421.0,0.3421,000721
2025-11-26,8.82,8.9,8.72,8.78,14815000.0,130395710.92,-0.2273,000721
2025-11-27,8.79,9.66,8.71,9.4,87575819.0,830534278.02,7.0615,000721
2025-11-28,9.08,9.31,9.02,9.22,61760753.0,565466069.48,-1.9149,000721
2025-12-01,9.29,9.45,9.2,9.3,43610446.0,406327287.11,0.8677,000721
2025-12-02,9.2,9.61,9.2,9.41,51102106.0,482294142.9,1.1828,000721
2025-12-03,9.41,10.01,9.31,9.75,77341530.0,748454517.94,3.6132,000721
2025-12-04,9.55,9.61,9.16,9.19,49655165.0,462558477.68,-5.7436,000721
2025-12-05,9.26,9.55,9.17,9.43,35990484.0,336997788.02,2.6115,000721
2025-12-08,9.43,9.48,9.28,9.35,30173200.0,281845732.0,-0.8484,000721
2025-12-09,9.31,9.55,9.16,9.47,40754378.0,383685186.2,1.2834,000721
2025-12-10,9.41,9.8,9.41,9.61,46809960.0,451478924.12,1.4784,000721
2025-12-11,9.6,9.66,9.35,9.41,30398556.0,287823520.64,-2.0812,000721
2025-12-12,9.34,10.16,9.22,9.89,68039726.0,661155400.06,5.101,000721
2025-12-15,10.1,10.54,9.75,9.76,78251955.0,792647439.58,-1.3145,000721
2025-12-16,9.96,10.15,9.74,9.78,56041179.0,556747872.14,0.2049,000721
2025-12-17,9.85,10.28,9.65,10.19,74042669.0,747979160.99,4.1922,000721
2025-12-18,9.98,10.45,9.94,10.09,60021140.0,609945861.84,-0.9814,000721
2025-12-19,9.98,10.15,9.75,10.01,48864005.0,486144869.76,-0.7929,000721
2025-12-22,9.9,10.0,9.65,9.73,43596200.0,426446937.18,-2.7972,000721
2025-12-23,9.68,9.69,9.16,9.21,47120984.0,439612802.23,-5.3443,000721
2025-12-24,9.09,9.25,9.06,9.22,22510853.0,206314208.77,0.1086,000721
2025-12-25,9.23,9.3,9.08,9.21,24111407.0,221351474.75,-0.1085,000721
2025-12-26,9.12,9.23,9.1,9.16,20112753.0,184283355.74,-0.5429,000721
2025-12-29,9.18,9.18,8.94,8.98,24183861.0,218080327.81,-1.9651,000721
2025-12-30,8.99,9.03,8.87,8.94,15886301.0,141964368.9,-0.4454,000721
2025-12-31,8.96,8.98,8.85,8.95,13523300.0,120769815.0,0.1119,000721
2026-01-05,8.91,9.09,8.88,9.08,19794000.0,177639330.99,1.4525,000721
2026-01-06,9.08,9.13,9.02,9.12,18946699.0,172192446.97,0.4405,000721
2026-01-07,9.1,9.29,9.06,9.17,24969000.0,229397925.0,0.5482,000721
2026-01-08,9.1,9.15,9.06,9.13,16338746.0,148683329.14,-0.4362,000721
2026-01-09,9.1,9.22,9.07,9.15,20273400.0,185068118.0,0.2191,000721
2026-01-12,9.18,9.39,9.14,9.33,30436882.0,282047906.1,1.9672,000721
2026-01-13,9.26,9.32,9.08,9.13,25877800.0,238079575.0,-2.1436,000721
2026-01-14,9.12,10.0,9.06,9.68,63796836.0,604227515.82,6.0241,000721
2026-01-15,9.6,10.25,9.6,9.76,74812336.0,740311536.04,0.8264,000721
2026-01-16,9.51,9.94,9.49,9.88,52515536.0,509178871.52,1.2295,000721
2026-01-19,9.78,9.98,9.71,9.81,36573638.0,361062615.82,-0.7085,000721
2026-01-20,9.77,9.85,9.56,9.61,32920302.0,318743501.32,-2.0387,000721
2026-01-21,9.57,9.57,9.36,9.39,26435567.0,248688251.46,-2.2893,000721
2026-01-22,9.4,9.53,9.35,9.49,19051060.0,179905825.04,1.065,000721
2026-01-23,9.54,9.54,9.44,9.47,20425000.0,193382219.0,-0.2107,000721
2026-01-26,9.43,9.49,9.22,9.33,21360300.0,199396235.0,-1.4784,000721
2026-01-27,9.3,9.31,9.08,9.19,17934770.0,164487276.9,-1.5005,000721
2026-01-28,9.21,9.28,9.16,9.25,12238300.0,112944539.0,0.6529,000721
2026-01-29,9.2,9.4,9.07,9.37,22986100.0,213924206.3,1.2973,000721
2026-01-30,9.37,9.51,9.26,9.26,25657400.0,240795561.0,-1.174,000721
2026-02-02,8.85,9.1,8.62,8.77,27006700.0,240155493.0,-5.2916,000721
2026-02-03,8.84,8.93,8.79,8.91,13584500.0,120593949.0,1.5964,000721
