date,开盘,最高,最低,收盘,成交量,成交额,代码,涨跌幅
2026-06-09,3977.5394,4010.8715,3955.908,4010.0307,576570090.0,1173088930413.3,SH000001,1.2803
2026-06-10,3985.1244,4006.3127,3963.4417,3993.2258,598694739.0,1227070067091.4,SH000001,-0.4191
2026-06-11,3979.7057,3997.4777,3958.4371,3987.0147,568545244.0,1185554610734.1,SH000001,-0.1555
2026-06-12,4017.8648,4060.271,4008.1769,4031.5129,743131092.0,1537401519424.7,SH000001,1.1161
2026-06-15,4053.5822,4097.1657,4051.0651,4096.4717,678907811.0,1403586231239.1,SH000001,1.6113
2026-06-16,4094.2124,4103.9259,4077.8702,4091.8917,615668296.0,1369612989674.4001,SH000001,-0.1118
2026-06-17,4074.2913,4109.9579,4073.7319,4108.0762,608077413.0,1403145909875.0,SH000001,0.3955
2026-06-18,4094.2301,4117.451,4080.2938,4090.4813,658116068.0,1560473972715.4,SH000001,-0.4283
2026-06-22,4093.9546,4164.4178,4070.1723,4163.0965,743699355.0,1704000421650.5,SH000001,1.7752
2026-06-23,4153.593,4175.3476,4085.5908,4106.2517,709003913.0,1594542362380.1,SH000001,-1.3654
2026-06-24,4090.1001,4117.2848,4075.4921,4110.8134,644527518.0,1514193285000.4001,SH000001,0.1111
2026-06-25,4103.4817,4133.0975,4093.0087,4120.2806,670459917.0,1618996555015.5999,SH000001,0.2303
2026-06-26,4098.6864,4099.7796,4007.8593,4027.2648,660108666.0,1621195708659.7,SH000001,-2.2575
2026-06-29,4026.6858,4075.3343,3992.5522,4073.9017,659199936.0,1666220369467.3,SH000001,1.158
2026-06-30,4058.1695,4097.415,4052.17,4094.3972,598412203.0,1530325961725.2,SH000001,0.5031
2026-07-01,4090.7598,4143.3135,4087.5354,4112.4453,672331791.0,1698487572312.8,SH000001,0.4408
2026-07-02,4054.0857,4093.6777,4019.2147,4028.9038,656233612.0,1577183734746.7,SH000001,-2.0314
2026-07-03,4031.3351,4073.8802,4027.2553,4043.6432,602009738.0,1465563104853.7,SH000001,0.3658
2026-07-06,4059.1941,4060.0688,4005.4137,4041.2382,590364903.0,1432112821099.2,SH000001,-0.0595
2026-07-07,4019.4942,4028.5139,3971.7126,3990.2353,514453091.0,1196371087894.4,SH000001,-1.2621
2026-07-08,3996.8069,4016.0262,3967.9128,3970.8797,496229374.0,1192355798215.7,SH000001,-0.4851
2026-07-09,3977.5473,4040.5387,3938.8775,4036.5879,553063980.0,1364176552620.6,SH000001,1.6548
2026-07-10,4031.5373,4074.828,3995.8072,3996.1616,627450065.0,1563108691542.7,SH000001,-1.0015
2026-07-13,3966.0234,3983.0535,3900.6676,3913.794,590907356.0,1334871933909.0,SH000001,-2.0612
2026-07-14,3909.274,3967.1262,3869.3042,3967.1262,579982052.0,1271796839678.5,SH000001,1.3627
2026-07-15,3963.7267,3981.6716,3943.6953,3955.5781,576209492.0,1226298269897.2002,SH000001,-0.2911
2026-07-16,3912.3812,3940.4505,3867.6012,3882.4126,535281873.0,1124208166213.8,SH000001,-1.8497
2026-07-17,3865.3165,3869.2148,3745.1744,3764.1547,650450984.0,1246445452836.2998,SH000001,-3.046
2026-07-20,3791.6616,3831.6593,3741.1099,3796.2814,709234069.0,1294651895844.7002,SH000001,0.8535
2026-07-21,3812.1618,3864.6002,3743.3601,3864.3671,735021925.0,1396517619563.9,SH000001,1.7935
2026-07-22,3839.6654,3884.4352,3839.6654,3867.0336,614255215.0,1258148128160.0,SH000001,0.069
2026-07-23,3868.0871,3878.8318,3851.7058,3876.7774,562122601.0,1025875517700.1,SH000001,0.252
2026-07-24,3853.6316,3861.0404,3808.6359,3814.1978,508203905.0,915366398292.6,SH000001,-1.6142
2026-07-27,3808.9032,3858.3097,3793.4489,3858.245,504879454.0,1031312143065.2,SH000001,1.1548
2026-07-28,3823.1331,3844.0118,3797.3727,3813.3146,494829126.0,949683080126.4,SH000001,-1.1645
2026-07-29,3823.2931,3845.7661,3782.4811,3828.469,571226391.0,1087407759096.1001,SH000001,0.3974
2026-07-30,3812.111,3839.3407,3767.5033,3804.6926,592298923.0,1106477266461.8,SH000001,-0.621
2026-07-31,3833.5359,3847.0926,3822.3736,3832.2624,597529427.0,1187681546393.3,SH000001,0.7246
2026-08-03,3812.6129,3827.6359,3797.6431,3809.6629,524516960.0,952256890102.3,SH000001,-0.5897
2026-08-04,3816.3699,3831.94,3799.5244,3822.2846,540324922.0,1008382536905.4,SH000001,0.3313
2026-08-05,3815.1217,3884.3971,3815.1217,3878.4296,592155124.0,1208723017752.0,SH000001,1.4689
2026-08-06,3864.2734,3902.0543,3864.2734,3900.3523,588555280.0,1166818677225.2,SH000001,0.5652
2026-08-07,3896.4854,3940.9347,3885.6248,3940.0371,564988582.0,1209543573294.4,SH000001,1.0175
