date,开盘,最高,最低,收盘,成交量,成交额,代码,涨跌幅
2026-06-09,14992.5473,15274.7164,14846.5535,15268.7147,274126203.31,804352030567.89,SZ399001,3.0195
2026-06-10,15062.5077,15149.3693,14817.1113,14954.1008,266202968.05,747548472189.23,SZ399001,-2.0605
2026-06-11,14889.5674,15062.7476,14706.0861,14851.9751,256206861.24,742593102159.77,SZ399001,-0.6829
2026-06-12,15149.5195,15171.2236,14943.4331,14963.4073,320014647.52,947154317989.7999,SZ399001,0.7503
2026-06-15,15153.1824,15531.1095,15055.9492,15531.1095,315250073.21,974939172403.98,SZ399001,3.7939
2026-06-16,15584.3702,15761.0035,15537.5027,15675.2457,295210505.06,1003044963036.41,SZ399001,0.928
2026-06-17,15569.9231,15885.4916,15569.9231,15880.9507,281815788.89,982466989780.74,SZ399001,1.3123
2026-06-18,15826.7944,16104.7674,15825.3165,16030.7024,325175628.83,1053324632762.4299,SZ399001,0.943
2026-06-22,16095.6286,16374.0199,15914.0516,16372.4987,367668659.04,1231455418042.6099,SZ399001,2.1321
2026-06-23,16324.2424,16355.9517,15756.411,15854.1963,325766520.87,1103867403650.39,SZ399001,-3.1657
2026-06-24,15782.3995,16068.4067,15730.1633,16051.3193,319618332.54,1052612988231.7999,SZ399001,1.2433
2026-06-25,16099.7627,16359.6203,16058.8501,16344.0829,349452355.15,1210442161805.01,SZ399001,1.8239
2026-06-26,16211.4062,16215.4486,15728.8391,15782.2229,365644475.55,1193276496061.39,SZ399001,-3.4377
2026-06-29,15781.7861,15938.2318,15487.9244,15812.8707,338026072.53,1129478308028.8,SZ399001,0.1942
2026-06-30,15811.6684,16232.2326,15809.651,16205.5565,317272721.7,1063169860103.47,SZ399001,2.4833
2026-07-01,16226.9742,16332.4801,15988.4171,16119.1683,368250001.08,1177741166145.25,SZ399001,-0.5331
2026-07-02,15729.9232,15886.6985,15453.5201,15498.8101,368394781.23,1124131693352.63,SZ399001,-3.8486
2026-07-03,15480.1174,15823.0538,15432.8927,15597.5116,318409357.8,1022040583094.37,SZ399001,0.6368
2026-07-06,15677.933,15749.356,15288.4931,15416.804,313119495.91,978797752864.66,SZ399001,-1.1586
2026-07-07,15345.393,15461.3666,15081.9231,15225.1136,278538746.78,827937999366.13,SZ399001,-1.2434
2026-07-08,15269.8211,15292.1224,14907.6245,14939.7268,275370811.27,843990144126.78,SZ399001,-1.8744
2026-07-09,15038.4698,15419.1162,14781.2431,15398.7281,303196424.6,985620317678.91,SZ399001,3.0724
2026-07-10,15480.4066,15581.9435,15046.6695,15046.6695,344817856.68,1144121455102.05,SZ399001,-2.2863
2026-07-13,14908.9846,14997.0721,14437.0714,14522.8547,293238342.77,904460144992.79,SZ399001,-3.4813
2026-07-14,14532.3647,14924.8678,14338.357,14924.8678,280027607.75,920252976477.81,SZ399001,2.7681
2026-07-15,14970.7702,15041.3297,14741.8006,14779.3965,275049564.89,838836913588.7999,SZ399001,-0.9747
2026-07-16,14497.429,14780.4599,14386.414,14488.6541,258370677.87,793796663768.9199,SZ399001,-1.9672
2026-07-17,14348.2151,14350.4678,13586.4888,13706.8841,296374862.41,874338468400.0,SZ399001,-5.3957
2026-07-20,13869.0557,13972.9922,13342.9329,13610.2315,299525571.66,865542593673.09,SZ399001,-0.7051
2026-07-21,13656.0848,14264.7966,13364.4077,14264.2915,329614472.21,984874543217.71,SZ399001,4.8056
2026-07-22,14169.9711,14360.3658,13988.5055,14061.4353,280889700.62,908989910672.4,SZ399001,-1.4221
2026-07-23,14116.021,14203.6352,13991.8303,14123.307,239390600.83,731910701134.92,SZ399001,0.44
2026-07-24,13915.0375,14061.0272,13774.6755,13774.6755,213396422.48,622581446104.25,SZ399001,-2.4685
2026-07-27,13768.603,14148.7307,13689.0143,14148.7307,205665016.72,633607272937.39,SZ399001,2.7155
2026-07-28,13830.3499,13940.9919,13470.1139,13509.6787,201617485.65,658723652803.38,SZ399001,-4.5167
2026-07-29,13498.7528,13756.7102,13267.6402,13658.4438,252524611.84,747685485171.76,SZ399001,1.1012
2026-07-30,13531.0698,13619.0323,13068.5575,13285.8006,264774829.92,778891507076.5801,SZ399001,-2.7283
2026-07-31,13689.995,13841.9568,13578.9301,13578.9301,283529118.25,849697787993.4601,SZ399001,2.2063
2026-08-03,13497.1043,13570.5113,13407.9897,13448.2888,237397543.76,620825285436.4801,SZ399001,-0.9621
2026-08-04,13572.9509,13936.5173,13537.7632,13885.7113,252805937.24,720217616211.91,SZ399001,3.2526
2026-08-05,13644.8347,14246.3833,13644.8347,14144.2045,290443486.77,896071852686.09,SZ399001,1.8616
2026-08-06,13981.4431,14252.1394,13922.4057,14110.1208,270815298.61,801492598739.77,SZ399001,-0.241
2026-08-07,14152.7826,14396.0749,14049.3419,14311.0078,269966196.36,873258682411.63,SZ399001,1.4237
