datetime,开盘,最高,最低,收盘,成交量,成交额,代码
2025-08-06 10:00:00,2335.95,2352.084,2335.95,2348.538,75509819,153611241954.0,SZ399006
2025-08-06 10:30:00,2348.515,2348.796,2342.045,2342.108,37393607,76749461542.0,SZ399006
2025-08-06 11:00:00,2342.125,2351.123,2340.134,2350.799,25024235,49623480866.0,SZ399006
2025-08-06 11:30:00,2350.372,2353.238,2346.187,2352.581,19160556,40512420380.0,SZ399006
2025-08-06 13:30:00,2352.755,2353.071,2347.039,2348.756,26899061,53656660508.0,SZ399006
2025-08-06 14:00:00,2348.76,2359.823,2346.906,2356.262,22866325,45392417678.0,SZ399006
2025-08-06 14:30:00,2356.252,2358.99,2355.119,2356.645,19812576,37646065795.0,SZ399006
2025-08-06 15:00:00,2356.714,2358.999,2356.333,2358.955,34860895,67981276832.0,SZ399006
2025-08-07 10:00:00,2359.423,2372.683,2357.753,2357.753,86963506,176392392529.0,SZ399006
2025-08-07 10:30:00,2357.688,2357.688,2329.734,2330.518,43352528,92185567691.0,SZ399006
2025-08-07 11:00:00,2330.549,2336.71,2327.79,2328.287,25272782,51764652525.0,SZ399006
2025-08-07 11:30:00,2328.106,2346.771,2322.805,2346.592,21466434,46075067515.0,SZ399006
2025-08-07 13:30:00,2347.633,2351.915,2342.503,2342.73,23290823,49947510149.0,SZ399006
2025-08-07 14:00:00,2342.717,2347.204,2342.444,2345.773,17480813,36431535354.0,SZ399006
2025-08-07 14:30:00,2345.95,2349.982,2340.007,2342.347,18011636,36111817847.0,SZ399006
2025-08-07 15:00:00,2342.244,2346.627,2341.712,2342.861,31008200,63242366787.0,SZ399006
2025-08-08 10:00:00,2338.249,2338.249,2330.191,2333.832,81675255,166191686576.0,SZ399006
2025-08-08 10:30:00,2333.389,2344.078,2330.011,2339.425,37084321,73154270989.0,SZ399006
2025-08-08 11:00:00,2339.331,2350.001,2338.799,2347.662,21726705,43207362291.0,SZ399006
2025-08-08 11:30:00,2347.568,2349.908,2343.671,2347.826,18994189,36163413494.0,SZ399006
