datetime,日期,时间,代码,周期,开盘,最高,最低,收盘,成交量,成交额
2026-03-10 09:35:00,2026-03-10,20260310093500000,601801,5,6.63,6.66,6.62,6.65,801800,5329171.0
2026-03-10 09:40:00,2026-03-10,20260310094000000,601801,5,6.66,6.67,6.64,6.66,838502,5581285.0
2026-03-10 09:45:00,2026-03-10,20260310094500000,601801,5,6.66,6.66,6.63,6.64,455600,3030204.0
2026-03-10 09:50:00,2026-03-10,20260310095000000,601801,5,6.63,6.64,6.63,6.64,312400,2073480.0
2026-03-10 09:55:00,2026-03-10,20260310095500000,601801,5,6.64,6.64,6.62,6.62,405300,2686965.0
2026-03-10 10:00:00,2026-03-10,20260310100000000,601801,5,6.62,6.63,6.61,6.62,465700,3082805.0
2026-03-10 10:05:00,2026-03-10,20260310100500000,601801,5,6.62,6.62,6.6,6.61,309600,2047039.0
2026-03-10 10:10:00,2026-03-10,20260310101000000,601801,5,6.61,6.62,6.6,6.61,280000,1850786.0
2026-03-10 10:15:00,2026-03-10,20260310101500000,601801,5,6.61,6.62,6.61,6.61,77000,509429.0
2026-03-10 10:20:00,2026-03-10,20260310102000000,601801,5,6.61,6.61,6.59,6.6,492900,3255649.0
2026-03-10 10:25:00,2026-03-10,20260310102500000,601801,5,6.6,6.61,6.59,6.61,198000,1306952.0
2026-03-10 10:30:00,2026-03-10,20260310103000000,601801,5,6.6,6.61,6.59,6.59,255000,1683624.0
2026-03-10 10:35:00,2026-03-10,20260310103500000,601801,5,6.59,6.6,6.59,6.59,120900,797361.0
2026-03-10 10:40:00,2026-03-10,20260310104000000,601801,5,6.59,6.6,6.59,6.6,103100,679963.0
2026-03-10 10:45:00,2026-03-10,20260310104500000,601801,5,6.6,6.6,6.58,6.58,419500,2763349.0
2026-03-10 10:50:00,2026-03-10,20260310105000000,601801,5,6.59,6.59,6.58,6.59,243300,1602776.0
2026-03-10 10:55:00,2026-03-10,20260310105500000,601801,5,6.59,6.59,6.58,6.59,187300,1233216.0
2026-03-10 11:00:00,2026-03-10,20260310110000000,601801,5,6.59,6.6,6.58,6.59,119500,787429.0
2026-03-10 11:05:00,2026-03-10,20260310110500000,601801,5,6.59,6.6,6.59,6.59,121100,798910.0
2026-03-10 11:10:00,2026-03-10,20260310111000000,601801,5,6.6,6.6,6.59,6.6,165200,1090198.0
2026-03-10 11:15:00,2026-03-10,20260310111500000,601801,5,6.6,6.61,6.6,6.61,68000,449360.0
2026-03-10 11:20:00,2026-03-10,20260310112000000,601801,5,6.6,6.65,6.6,6.63,723400,4793893.0
2026-03-10 11:25:00,2026-03-10,20260310112500000,601801,5,6.63,6.66,6.63,6.65,449500,2988810.0
2026-03-10 11:30:00,2026-03-10,20260310113000000,601801,5,6.65,6.65,6.64,6.65,161400,1072616.0
2026-03-10 13:05:00,2026-03-10,20260310130500000,601801,5,6.65,6.67,6.64,6.66,536900,3575394.0
2026-03-10 13:10:00,2026-03-10,20260310131000000,601801,5,6.66,6.67,6.66,6.66,177900,1185685.0
2026-03-10 13:15:00,2026-03-10,20260310131500000,601801,5,6.66,6.67,6.66,6.66,310277,2066574.0
2026-03-10 13:20:00,2026-03-10,20260310132000000,601801,5,6.67,6.67,6.66,6.67,177300,1182071.0
2026-03-10 13:25:00,2026-03-10,20260310132500000,601801,5,6.67,6.67,6.66,6.67,199900,1333131.0
2026-03-10 13:30:00,2026-03-10,20260310133000000,601801,5,6.67,6.68,6.66,6.68,228000,1521488.0
2026-03-10 13:35:00,2026-03-10,20260310133500000,601801,5,6.67,6.68,6.66,6.66,256100,1707222.0
2026-03-10 13:40:00,2026-03-10,20260310134000000,601801,5,6.66,6.67,6.66,6.67,99900,666096.0
2026-03-10 13:45:00,2026-03-10,20260310134500000,601801,5,6.67,6.67,6.66,6.67,244100,1627649.0
2026-03-10 13:50:00,2026-03-10,20260310135000000,601801,5,6.67,6.67,6.66,6.67,124700,831630.0
2026-03-10 13:55:00,2026-03-10,20260310135500000,601801,5,6.66,6.68,6.66,6.68,176100,1175391.0
2026-03-10 14:00:00,2026-03-10,20260310140000000,601801,5,6.67,6.68,6.67,6.68,313100,2091123.0
2026-03-10 14:05:00,2026-03-10,20260310140500000,601801,5,6.68,6.69,6.67,6.68,133700,893692.0
2026-03-10 14:10:00,2026-03-10,20260310141000000,601801,5,6.69,6.69,6.68,6.69,167700,1121551.0
2026-03-10 14:15:00,2026-03-10,20260310141500000,601801,5,6.68,6.69,6.67,6.68,309600,2068606.0
2026-03-10 14:20:00,2026-03-10,20260310142000000,601801,5,6.68,6.69,6.67,6.68,221200,1477627.0
2026-03-10 14:25:00,2026-03-10,20260310142500000,601801,5,6.68,6.69,6.67,6.67,122400,817474.0
2026-03-10 14:30:00,2026-03-10,20260310143000000,601801,5,6.67,6.69,6.67,6.68,278100,1857674.0
2026-03-10 14:35:00,2026-03-10,20260310143500000,601801,5,6.68,6.69,6.67,6.68,306400,2046993.0
2026-03-10 14:40:00,2026-03-10,20260310144000000,601801,5,6.68,6.69,6.68,6.68,313700,2096725.0
2026-03-10 14:45:00,2026-03-10,20260310144500000,601801,5,6.68,6.69,6.67,6.68,291600,1948438.0
2026-03-10 14:50:00,2026-03-10,20260310145000000,601801,5,6.68,6.69,6.67,6.67,224200,1498765.0
2026-03-10 14:55:00,2026-03-10,20260310145500000,601801,5,6.68,6.68,6.67,6.68,224500,1498836.0
2026-03-10 15:00:00,2026-03-10,20260310150000000,601801,5,6.67,6.68,6.66,6.67,251800,1680092.0
2026-03-11 09:35:00,2026-03-11,20260311093500000,601801,5,6.67,6.68,6.65,6.66,461100,3071128.0
2026-03-11 09:40:00,2026-03-11,20260311094000000,601801,5,6.65,6.67,6.64,6.66,649900,4327494.0
2026-03-11 09:45:00,2026-03-11,20260311094500000,601801,5,6.66,6.67,6.64,6.66,341600,2273232.0
2026-03-11 09:50:00,2026-03-11,20260311095000000,601801,5,6.66,6.68,6.65,6.67,353500,2355164.0
2026-03-11 09:55:00,2026-03-11,20260311095500000,601801,5,6.67,6.68,6.66,6.66,159200,1061211.0
2026-03-11 10:00:00,2026-03-11,20260311100000000,601801,5,6.66,6.69,6.66,6.69,437700,2924302.0
2026-03-11 10:05:00,2026-03-11,20260311100500000,601801,5,6.69,6.69,6.67,6.68,183900,1228520.0
2026-03-11 10:10:00,2026-03-11,20260311101000000,601801,5,6.68,6.68,6.67,6.67,155200,1035466.0
2026-03-11 10:15:00,2026-03-11,20260311101500000,601801,5,6.67,6.68,6.67,6.67,133700,892461.0
2026-03-11 10:20:00,2026-03-11,20260311102000000,601801,5,6.67,6.7,6.67,6.69,252000,1684617.0
2026-03-11 10:25:00,2026-03-11,20260311102500000,601801,5,6.69,6.72,6.69,6.72,470900,3158249.0
2026-03-11 10:30:00,2026-03-11,20260311103000000,601801,5,6.72,6.72,6.7,6.71,316000,2121119.0
2026-03-11 10:35:00,2026-03-11,20260311103500000,601801,5,6.71,6.77,6.71,6.76,1188400,8020766.0
2026-03-11 10:40:00,2026-03-11,20260311104000000,601801,5,6.77,6.78,6.75,6.76,840700,5689609.0
2026-03-11 10:45:00,2026-03-11,20260311104500000,601801,5,6.76,6.77,6.75,6.76,250100,1690898.0
2026-03-11 10:50:00,2026-03-11,20260311105000000,601801,5,6.76,6.76,6.75,6.75,51700,349165.0
2026-03-11 10:55:00,2026-03-11,20260311105500000,601801,5,6.75,6.76,6.74,6.75,294300,1985680.0
2026-03-11 11:00:00,2026-03-11,20260311110000000,601801,5,6.75,6.75,6.74,6.74,58900,397272.0
2026-03-11 11:05:00,2026-03-11,20260311110500000,601801,5,6.74,6.75,6.74,6.74,63800,430144.0
2026-03-11 11:10:00,2026-03-11,20260311111000000,601801,5,6.74,6.75,6.74,6.74,86000,580259.0
2026-03-11 11:15:00,2026-03-11,20260311111500000,601801,5,6.74,6.75,6.74,6.75,141400,953828.0
2026-03-11 11:20:00,2026-03-11,20260311112000000,601801,5,6.75,6.75,6.74,6.74,74400,501817.0
2026-03-11 11:25:00,2026-03-11,20260311112500000,601801,5,6.75,6.75,6.73,6.74,214000,1442135.0
2026-03-11 11:30:00,2026-03-11,20260311113000000,601801,5,6.74,6.75,6.73,6.74,292700,1973486.0
2026-03-11 13:05:00,2026-03-11,20260311130500000,601801,5,6.74,6.75,6.74,6.74,150700,1016503.0
2026-03-11 13:10:00,2026-03-11,20260311131000000,601801,5,6.75,6.76,6.73,6.74,324800,2188100.0
2026-03-11 13:15:00,2026-03-11,20260311131500000,601801,5,6.74,6.74,6.72,6.73,87300,587715.0
2026-03-11 13:20:00,2026-03-11,20260311132000000,601801,5,6.73,6.74,6.71,6.71,209200,1406774.0
2026-03-11 13:25:00,2026-03-11,20260311132500000,601801,5,6.71,6.73,6.71,6.73,195600,1314942.0
2026-03-11 13:30:00,2026-03-11,20260311133000000,601801,5,6.73,6.74,6.72,6.72,103200,694395.0
2026-03-11 13:35:00,2026-03-11,20260311133500000,601801,5,6.72,6.73,6.71,6.72,249600,1677688.0
2026-03-11 13:40:00,2026-03-11,20260311134000000,601801,5,6.72,6.73,6.71,6.72,115900,779219.0
2026-03-11 13:45:00,2026-03-11,20260311134500000,601801,5,6.72,6.73,6.71,6.73,132600,891150.0
2026-03-11 13:50:00,2026-03-11,20260311135000000,601801,5,6.73,6.73,6.72,6.73,83100,558851.0
2026-03-11 13:55:00,2026-03-11,20260311135500000,601801,5,6.73,6.73,6.7,6.71,245900,1650342.0
2026-03-11 14:00:00,2026-03-11,20260311140000000,601801,5,6.71,6.71,6.7,6.71,75500,506430.0
2026-03-11 14:05:00,2026-03-11,20260311140500000,601801,5,6.71,6.73,6.7,6.71,165300,1109904.0
2026-03-11 14:10:00,2026-03-11,20260311141000000,601801,5,6.72,6.73,6.71,6.72,115200,774602.0
2026-03-11 14:15:00,2026-03-11,20260311141500000,601801,5,6.73,6.74,6.72,6.73,114400,769847.0
2026-03-11 14:20:00,2026-03-11,20260311142000000,601801,5,6.73,6.73,6.72,6.72,73200,492266.0
2026-03-11 14:25:00,2026-03-11,20260311142500000,601801,5,6.72,6.73,6.71,6.72,184000,1236124.0
2026-03-11 14:30:00,2026-03-11,20260311143000000,601801,5,6.72,6.73,6.71,6.72,150700,1013124.0
2026-03-11 14:35:00,2026-03-11,20260311143500000,601801,5,6.72,6.74,6.72,6.73,435200,2931569.0
2026-03-11 14:40:00,2026-03-11,20260311144000000,601801,5,6.73,6.75,6.73,6.74,200984,1354901.0
2026-03-11 14:45:00,2026-03-11,20260311144500000,601801,5,6.74,6.76,6.73,6.74,450116,3036057.0
2026-03-11 14:50:00,2026-03-11,20260311145000000,601801,5,6.74,6.75,6.74,6.75,102000,687896.0
2026-03-11 14:55:00,2026-03-11,20260311145500000,601801,5,6.75,6.76,6.74,6.76,471200,3181051.0
2026-03-11 15:00:00,2026-03-11,20260311150000000,601801,5,6.76,6.77,6.74,6.76,559400,3781882.0
2026-03-12 09:35:00,2026-03-12,20260312093500000,601801,5,6.74,6.77,6.71,6.76,1085100,7313346.0
2026-03-12 09:40:00,2026-03-12,20260312094000000,601801,5,6.75,6.81,6.75,6.79,902900,6125626.0
2026-03-12 09:45:00,2026-03-12,20260312094500000,601801,5,6.79,6.81,6.79,6.81,669900,4554648.0
2026-03-12 09:50:00,2026-03-12,20260312095000000,601801,5,6.8,6.82,6.8,6.8,531900,3621116.0
2026-03-12 09:55:00,2026-03-12,20260312095500000,601801,5,6.8,6.83,6.8,6.82,824600,5618499.0
2026-03-12 10:00:00,2026-03-12,20260312100000000,601801,5,6.82,6.82,6.79,6.81,364600,2482311.0
2026-03-12 10:05:00,2026-03-12,20260312100500000,601801,5,6.81,6.87,6.8,6.86,2278800,15602802.0
2026-03-12 10:10:00,2026-03-12,20260312101000000,601801,5,6.86,6.87,6.85,6.86,418523,2872413.0
2026-03-12 10:15:00,2026-03-12,20260312101500000,601801,5,6.86,6.88,6.86,6.86,465700,3200599.0
2026-03-12 10:20:00,2026-03-12,20260312102000000,601801,5,6.86,6.9,6.86,6.89,1013900,6983890.0
