代码,名称,地区,行业,市场,上市日期,交易日,最新价,涨跌幅,成交额,总市值,流通市值,总市值_亿元,流通市值_亿元,量比,市盈率,市净率
000001,平安银行,深圳,银行,主板,19910403,20260805,11.25,-1.6608,1703942517.43,218316579750.0,218313007875.0,2183.1657975,2183.13007875,0.88,5.1208,0.4704
000002,万科A,深圳,全国地产,主板,19910129,20260805,3.28,0.6135,326826457.02,39132727160.0,31871549752.000004,391.3272716,318.71549752000004,0.56,,0.354
000006,深振业A,深圳,区域地产,主板,19920427,20260805,6.79,1.3433,109014567.91,9166466050.0,9166396792.0,91.6646605,91.66396792,0.74,,1.7073
000007,全新好,深圳,其他商业,主板,19920413,20260805,9.55,2.9095,102049590.6,3308578400.0000005,3308578400.0000005,33.085784000000004,33.085784000000004,1.22,1716.7594,18.4741
000008,神州高铁,北京,运输设备,主板,19920507,20260805,2.42,-0.8197,69786573.0,6573634033.999999,6573438740.0,65.73634033999998,65.7343874,0.93,,3.0458
000009,中国宝安,深圳,电气设备,主板,19910625,20260805,7.64,-3.4134,527018798.34,19705194960.0,19680796620.0,197.0519496,196.8079662,0.78,97.05,1.9646
000010,*ST美丽,深圳,建筑工程,主板,19951027,20260805,1.57,-2.4845,61782432.52,1804954111.0,1440666069.0000002,18.04954111,14.406660690000002,1.84,,6.1326
000011,深物业A,深圳,房产服务,主板,19920330,20260805,8.13,1.625,83064285.0,4845310083.0,4280245814.9999995,48.45310083,42.80245814999999,0.43,142.9923,1.4394
000012,南玻A,深圳,玻璃,主板,19920228,20260805,3.96,0.2532,111035897.36,12048176447.999998,7758893736.000001,120.48176447999998,77.58893736,1.06,95.8728,0.9244
000014,沙河股份,深圳,全国地产,主板,19920602,20260805,10.13,0.297,56737038.0,2451928006.0,2451928006.0,24.51928006,24.51928006,0.61,,1.7755
000016,*ST康佳A,深圳,家用电器,主板,19920327,20260805,2.62,1.5504,49804085.0,6308816948.000001,4183075756.0,63.08816948000001,41.83075756,1.19,,
000017,深中华A,深圳,服饰,主板,19920331,20260805,6.2,2.1417,58522702.169999994,4272946380.0,2733096400.0,42.7294638,27.330964,1.04,103.8909,10.9466
000019,深粮控股,深圳,农业综合,主板,19921012,20260805,6.09,-0.3273,31077763.14,7018939976.999999,2534696976.0,70.18939977,25.34696976,0.83,28.8589,1.3889
000020,深华发A,深圳,元器件,主板,19920428,20260805,10.92,0.6452,39942310.0,3092120304.0,1978326168.0,30.92120304,19.78326168,0.86,87.2473,6.9595
000021,深科技,深圳,元器件,主板,19940202,20260805,38.7,5.9113,6181916477.05,60928110486.0,60919820946.00001,609.28110486,609.19820946,1.06,53.6491,4.5604
000025,特力A,深圳,综合类,主板,19930621,20260805,15.28,-1.6731,139056518.85,6586570824.0,6001652424.0,65.86570824,60.01652424,0.71,46.1032,3.5413
000026,飞亚达,深圳,服饰,主板,19930603,20260805,17.08,4.5288,226794008.45,6930449120.0,6226696756.0,69.3044912,62.26696756,1.38,79.3704,2.0396
000027,深圳能源,深圳,火力发电,主板,19930903,20260805,6.44,-1.227,162318984.39999998,30637590956.0,30637590956.0,306.37590956,306.37590956,0.96,14.5661,0.9158
000028,国药一致,深圳,医药商业,主板,19930809,20260805,20.6,-1.1042,66968919.03,12611762900.0,10832676860.0,126.117629,108.3267686,1.1,11.1026,0.6674
000029,深深房A,深圳,区域地产,主板,19930915,20260805,22.06,2.2717,92989487.36,22317219600.0,19670019600.0,223.172196,196.700196,0.6,223.2704,6.1762
000030,富奥股份,吉林,汽车配件,主板,19930929,20260805,4.29,-0.464,37181599.730000004,7377988761.0,7168187169.0,73.77988761,71.68187169,0.84,10.5007,0.8645
