期号,开奖日期,红球,蓝球,红1,红2,红3,红4,红5,红6,销售额,奖池金额,红球和值,红球跨度,红球奇偶比,红球大小比,红球三区比,蓝球奇偶,蓝球大小,年份
2013001,2013-01-01,06 08 14 15 24 25,6,6,8,14,15,24,25,309153922,30000000,92,19,2:4,2:4,2:2:2,偶,小,2013
2013002,2013-01-03,01 16 18 22 28 30,12,1,16,18,22,28,30,303822912,61810900,115,29,1:5,4:2,1:3:2,偶,大,2013
2013003,2013-01-06,22 23 26 27 28 33,9,22,23,26,27,28,33,367773688,98882604,159,11,3:3,6:0,0:1:5,奇,大,2013
2013004,2013-01-08,06 10 16 20 27 32,8,6,10,16,20,27,32,337097616,35567995,111,26,1:5,3:3,2:2:2,偶,小,2013
2013005,2013-01-10,01 13 14 25 31 32,12,1,13,14,25,31,32,339352226,49335143,116,31,4:2,3:3,1:2:3,偶,大,2013
2013006,2013-01-13,09 10 13 17 22 30,13,9,10,13,17,22,30,374366198,82757304,101,21,3:3,3:3,2:3:1,奇,大,2013
2013007,2013-01-15,02 09 15 22 26 32,1,2,9,15,22,26,32,341246158,151606540,106,30,2:4,3:3,2:2:2,奇,小,2013
2013008,2013-01-17,03 08 17 21 25 32,15,3,8,17,21,25,32,341795384,170217234,106,29,4:2,4:2,2:2:2,奇,大,2013
2013009,2013-01-20,01 04 09 13 16 23,2,1,4,9,13,16,23,383674016,195572596,66,22,4:2,1:5,3:2:1,偶,小,2013
2013010,2013-01-22,01 09 11 17 32 33,12,1,9,11,17,32,33,347709230,224151420,103,32,5:1,3:3,3:1:2,偶,大,2013
2013011,2013-01-24,03 12 17 24 27 29,9,3,12,17,24,27,29,350274074,199912372,112,26,4:2,4:2,1:2:3,奇,大,2013
2013012,2013-01-27,06 14 17 22 28 29,2,6,14,17,22,28,29,389114476,260734911,116,23,2:4,4:2,1:3:2,偶,小,2013
2013013,2013-01-29,05 06 13 19 22 28,9,5,6,13,19,22,28,351745408,211416895,93,23,3:3,3:3,2:3:1,奇,大,2013
2013014,2013-01-31,02 04 05 17 19 20,8,2,4,5,17,19,20,348187310,150729380,67,18,3:3,3:3,3:3:0,偶,小,2013
2013015,2013-02-03,05 06 07 11 13 18,15,5,6,7,11,13,18,377989410,202682481,60,13,4:2,1:5,4:2:0,奇,大,2013
2013016,2013-02-05,02 05 06 12 14 28,5,2,5,6,12,14,28,327207104,165350088,67,26,1:5,1:5,3:2:1,奇,小,2013
2013017,2013-02-07,04 06 12 30 31 32,9,4,6,12,30,31,32,339247106,198644874,115,28,1:5,3:3,2:1:3,奇,大,2013
2013018,2013-02-17,02 08 13 28 29 30,5,2,8,13,28,29,30,364752666,193557090,110,28,2:4,3:3,2:1:3,奇,小,2013
2013019,2013-02-19,01 02 05 16 20 26,6,1,2,5,16,20,26,316958200,207401535,70,25,2:4,2:4,3:2:1,偶,小,2013
2013020,2013-02-21,01 07 08 12 16 21,1,1,7,8,12,16,21,337611102,233771560,65,20,3:3,1:5,3:3:0,奇,小,2013
2013021,2013-02-24,01 06 17 19 26 31,11,1,6,17,19,26,31,386291388,239758883,100,30,4:2,4:2,2:2:2,奇,大,2013
2013022,2013-02-26,02 04 07 09 15 20,7,2,4,7,9,15,20,349104140,238299864,57,18,3:3,1:5,4:2:0,奇,小,2013
2013023,2013-02-28,03 06 15 18 30 32,5,3,6,15,18,30,32,359844386,271259788,104,29,2:4,3:3,2:2:2,奇,小,2013
2013024,2013-03-03,04 05 13 23 27 30,9,4,5,13,23,27,30,397860528,222298732,102,26,4:2,3:3,2:1:3,奇,大,2013
2013025,2013-03-05,16 17 18 24 25 30,8,16,17,18,24,25,30,365053994,116448192,130,14,2:4,5:1,0:3:3,偶,小,2013
2013026,2013-03-07,04 11 14 15 22 31,11,4,11,14,15,22,31,357237076,140421744,97,27,3:3,2:4,2:3:1,奇,大,2013
2013027,2013-03-10,01 02 04 12 21 24,12,1,2,4,12,21,24,401897672,136259354,64,23,2:4,2:4,3:2:1,偶,大,2013
2013028,2013-03-12,07 08 14 25 26 28,13,7,8,14,25,26,28,363477764,144919914,108,21,2:4,3:3,2:1:3,奇,大,2013
2013029,2013-03-14,06 07 10 19 23 29,12,6,7,10,19,23,29,367189222,133260864,94,23,4:2,3:3,3:1:2,偶,大,2013
2013030,2013-03-17,07 14 18 25 26 29,6,7,14,18,25,26,29,405193314,146756785,119,22,3:3,4:2,1:2:3,偶,小,2013
2013031,2013-03-19,03 13 14 15 21 33,3,3,13,14,15,21,33,365951410,135583170,99,30,5:1,2:4,1:4:1,奇,小,2013
2013032,2013-03-21,04 21 25 29 30 33,3,4,21,25,29,30,33,365616360,185170708,142,29,4:2,5:1,1:1:4,奇,小,2013
2013033,2013-03-24,05 06 13 17 19 28,1,5,6,13,17,19,28,397248028,34224132,88,23,4:2,3:3,2:3:1,奇,小,2013
2013034,2013-03-26,06 15 20 22 26 33,9,6,15,20,22,26,33,339315898,47229360,122,27,2:4,4:2,1:3:2,奇,大,2013
2013035,2013-03-28,01 14 15 17 26 30,2,1,14,15,17,26,30,351498872,105954843,103,29,3:3,3:3,1:3:2,偶,小,2013
2013036,2013-03-31,04 05 09 27 29 31,13,4,5,9,27,29,31,393497514,118017567,105,27,5:1,3:3,3:0:3,奇,大,2013
2013037,2013-04-02,02 15 18 27 28 32,14,2,15,18,27,28,32,350336028,122337450,122,30,2:4,4:2,1:2:3,偶,大,2013
2013038,2013-04-04,09 10 12 14 15 19,11,9,10,12,14,15,19,328400842,140504290,79,10,3:3,1:5,2:4:0,奇,大,2013
2013039,2013-04-07,01 02 14 15 24 29,6,1,2,14,15,24,29,390740078,158541908,85,28,3:3,2:4,2:2:2,偶,小,2013
2013040,2013-04-09,02 04 10 12 17 30,10,2,4,10,12,17,30,352650578,135009567,75,28,1:5,2:4,3:2:1,偶,大,2013
2013041,2013-04-11,02 10 12 17 23 24,5,2,10,12,17,23,24,358260706,165669831,88,22,2:4,3:3,2:2:2,奇,小,2013
2013042,2013-04-14,01 08 12 13 15 33,3,1,8,12,13,15,33,396763590,191650228,82,32,4:2,1:5,2:3:1,奇,小,2013
2013043,2013-04-16,03 06 14 15 17 25,16,3,6,14,15,17,25,358568922,130914304,80,22,4:2,2:4,2:3:1,偶,大,2013
2013044,2013-04-18,03 05 11 18 26 28,6,3,5,11,18,26,28,355471956,113248452,91,25,3:3,3:3,3:1:2,偶,小,2013
2013045,2013-04-21,06 07 08 14 23 31,12,6,7,8,14,23,31,389847482,123007759,89,25,3:3,2:4,3:1:2,偶,大,2013
2013046,2013-04-23,03 16 19 20 24 26,6,3,16,19,20,24,26,352094234,143084851,108,23,2:4,4:2,1:3:2,偶,小,2013
2013047,2013-04-25,01 08 11 17 27 30,12,1,8,11,17,27,30,347274348,167906106,94,29,4:2,3:3,3:1:2,偶,大,2013
2013048,2013-04-28,10 13 17 28 30 32,4,10,13,17,28,30,32,379712106,55171877,130,22,2:4,4:2,1:2:3,偶,小,2013
2013049,2013-04-30,10 13 14 16 21 32,14,10,13,14,16,21,32,295889902,114803190,106,22,2:4,2:4,1:4:1,偶,大,2013
2013050,2013-05-02,03 07 13 18 22 25,3,3,7,13,18,22,25,331969178,116018802,88,22,4:2,3:3,2:3:1,奇,小,2013
2013051,2013-05-05,08 12 15 19 28 29,2,8,12,15,19,28,29,377856082,30000000,111,21,3:3,3:3,1:3:2,偶,小,2013
2013052,2013-05-07,06 07 14 21 22 24,13,6,7,14,21,22,24,320719928,48367032,94,18,2:4,3:3,2:3:1,奇,大,2013
2013053,2013-05-09,03 12 13 22 30 33,14,3,12,13,22,30,33,327360018,89705790,113,30,3:3,3:3,1:3:2,偶,大,2013
2013054,2013-05-12,03 04 08 14 21 28,14,3,4,8,14,21,28,367209526,101137064,78,25,2:4,2:4,3:2:1,偶,大,2013
2013055,2013-05-14,08 18 19 22 27 32,6,8,18,19,22,27,32,328924474,116004306,126,24,2:4,5:1,1:3:2,偶,小,2013
2013056,2013-05-16,03 12 25 26 28 29,16,3,12,25,26,28,29,330573576,138712270,123,26,3:3,4:2,1:1:4,偶,大,2013
2013057,2013-05-19,13 16 19 23 26 28,5,13,16,19,23,26,28,367207180,152624208,125,15,3:3,4:2,0:3:3,奇,小,2013
2013058,2013-05-21,08 11 17 21 23 24,5,8,11,17,21,23,24,338075776,138757060,104,16,4:2,4:2,2:2:2,奇,小,2013
2013059,2013-05-23,03 10 18 24 27 29,9,3,10,18,24,27,29,339381758,99230450,111,26,3:3,4:2,2:1:3,奇,大,2013
2013060,2013-05-26,05 07 10 13 19 20,15,5,7,10,13,19,20,368726696,110329152,74,15,4:2,2:4,3:3:0,奇,大,2013
2013061,2013-05-28,05 06 07 12 13 18,12,5,6,7,12,13,18,335064726,30000000,61,13,3:3,1:5,3:3:0,偶,大,2013
2013062,2013-05-30,01 06 07 19 22 27,2,1,6,7,19,22,27,313979568,83172610,82,26,4:2,3:3,3:2:1,偶,小,2013
2013063,2013-06-02,10 15 18 20 23 31,12,10,15,18,20,23,31,354390256,142799949,117,21,3:3,4:2,1:3:2,偶,大,2013
2013064,2013-06-04,01 09 13 22 25 32,12,1,9,13,22,25,32,328102052,172812165,102,31,4:2,3:3,2:2:2,偶,大,2013
2013065,2013-06-06,07 18 19 23 29 30,2,7,18,19,23,29,30,334460176,201675690,126,23,4:2,5:1,1:2:3,偶,小,2013
2013066,2013-06-09,01 03 16 17 20 32,7,1,3,16,17,20,32,368087166,182192048,89,31,3:3,3:3,2:3:1,奇,小,2013
2013067,2013-06-11,01 04 09 15 22 30,6,1,4,9,15,22,30,309743864,137776720,81,29,3:3,2:4,3:2:1,偶,小,2013
2013068,2013-06-13,02 07 13 20 25 27,6,2,7,13,20,25,27,329872238,135584520,94,25,4:2,3:3,2:2:2,偶,小,2013
2013069,2013-06-16,07 16 17 18 30 33,6,7,16,17,18,30,33,369339396,30000000,121,26,3:3,4:2,1:3:2,偶,小,2013
