号码,形态,和值,跨度,奇偶比,大小比,质合比,联合概率评分
472,组六,13,5,2:1,2:1,1:2,0.000492075
742,组六,13,5,2:1,2:1,1:2,0.000492075
247,组六,13,5,2:1,2:1,1:2,0.000492075
724,组六,13,5,2:1,2:1,1:2,0.000492075
274,组六,13,5,2:1,2:1,1:2,0.000492075
427,组六,13,5,2:1,2:1,1:2,0.000492075
762,组六,15,5,2:1,1:2,1:2,0.000478953
276,组六,15,5,2:1,1:2,1:2,0.000478953
726,组六,15,5,2:1,1:2,1:2,0.000478953
267,组六,15,5,2:1,1:2,1:2,0.000478953
672,组六,15,5,2:1,1:2,1:2,0.000478953
627,组六,15,5,2:1,1:2,1:2,0.000478953
328,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
823,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
374,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
832,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
526,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
473,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
562,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
743,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
283,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
256,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
734,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
347,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
382,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
265,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
625,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
238,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
652,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
437,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
285,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
582,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
258,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
852,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
528,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
825,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
385,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
835,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
853,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
358,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
583,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
538,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
326,组六,11,4,2:1,2:1,1:2,0.00043460064
367,组六,16,4,1:2,1:2,1:2,0.00043460064
637,组六,16,4,1:2,1:2,1:2,0.00043460064
623,组六,11,4,2:1,2:1,1:2,0.00043460064
763,组六,16,4,1:2,1:2,1:2,0.00043460064
736,组六,16,4,1:2,1:2,1:2,0.00043460064
632,组六,11,4,2:1,2:1,1:2,0.00043460064
236,组六,11,4,2:1,2:1,1:2,0.00043460064
263,组六,11,4,2:1,2:1,1:2,0.00043460064
673,组六,16,4,1:2,1:2,1:2,0.00043460064
362,组六,11,4,2:1,2:1,1:2,0.00043460064
376,组六,16,4,1:2,1:2,1:2,0.00043460064
923,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
932,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
329,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
365,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
653,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
239,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
635,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
563,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
536,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
293,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
392,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
356,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
057,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
507,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
075,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
