期号,开奖日期,开奖号码,百位,十位,个位,销售额
2013002,2013-01-02,6 7 0,6,7,0,51488516
2013006,2013-01-06,4 5 7,4,5,7,53780150
2013008,2013-01-08,5 5 6,5,5,6,57451894
2013010,2013-01-10,6 3 2,6,3,2,57925506
2013011,2013-01-11,2 0 9,2,0,9,60309854
2013012,2013-01-12,6 8 8,6,8,8,58977958
2013013,2013-01-13,9 2 2,9,2,2,56006754
2013014,2013-01-14,4 1 7,4,1,7,57139268
2013015,2013-01-15,2 2 8,2,2,8,59555910
2013016,2013-01-16,0 3 8,0,3,8,57442828
2013017,2013-01-17,3 8 0,3,8,0,57845866
2013018,2013-01-18,3 4 7,3,4,7,56286508
2013020,2013-01-20,9 2 9,9,2,9,55475778
2013022,2013-01-22,2 5 0,2,5,0,57679674
2013026,2013-01-26,8 5 7,8,5,7,58905784
2013027,2013-01-27,3 0 8,3,0,8,58222760
2013030,2013-01-30,7 3 2,7,3,2,58841292
2013033,2013-02-02,2 7 7,2,7,7,55643734
2013036,2013-02-05,6 5 8,6,5,8,53335498
2013037,2013-02-06,3 6 4,3,6,4,51778416
2013038,2013-02-07,6 4 0,6,4,0,50105204
2013039,2013-02-08,6 3 9,6,3,9,43491876
2013041,2013-02-17,8 5 1,8,5,1,42206558
2013042,2013-02-18,4 9 6,4,9,6,45872886
2013044,2013-02-20,3 1 8,3,1,8,50331618
2013045,2013-02-21,0 3 9,0,3,9,51612576
2013050,2013-02-26,5 5 6,5,5,6,52021244
2013052,2013-02-28,5 5 6,5,5,6,51247670
2013054,2013-03-02,4 9 7,4,9,7,50454958
2013055,2013-03-03,4 5 6,4,5,6,52651292
2013056,2013-03-04,1 3 9,1,3,9,53947372
2013058,2013-03-06,0 8 2,0,8,2,56366870
2013060,2013-03-08,5 4 9,5,4,9,56593202
2013061,2013-03-09,6 7 5,6,7,5,55177344
2013065,2013-03-13,3 2 8,3,2,8,55330984
2013067,2013-03-15,8 3 2,8,3,2,58134722
2013068,2013-03-16,7 7 0,7,7,0,55694510
2013072,2013-03-20,8 3 1,8,3,1,58030932
2013074,2013-03-22,2 8 8,2,8,8,54718670
2013075,2013-03-23,6 1 7,6,1,7,52736716
2013076,2013-03-24,1 7 4,1,7,4,56419230
2013077,2013-03-25,1 8 4,1,8,4,59454290
2013078,2013-03-26,0 3 2,0,3,2,58070700
2013080,2013-03-28,4 6 6,4,6,6,58736374
2013081,2013-03-29,8 5 7,8,5,7,58330284
2013082,2013-03-30,2 4 9,2,4,9,55883762
2013084,2013-04-01,7 2 1,7,2,1,58118434
2013089,2013-04-06,1 9 2,1,9,2,56375304
2013091,2013-04-08,1 3 7,1,3,7,56447310
2013092,2013-04-09,6 3 2,6,3,2,57521316
2013096,2013-04-13,0 3 9,0,3,9,55345358
2013098,2013-04-15,7 5 9,7,5,9,57282494
2013102,2013-04-19,5 3 6,5,3,6,56561892
2013104,2013-04-21,0 1 4,0,1,4,54329426
2013105,2013-04-22,4 8 4,4,8,4,55980892
2013107,2013-04-24,9 8 5,9,8,5,55889962
2013111,2013-04-28,4 6 6,4,6,6,57364056
2013112,2013-04-29,9 9 6,9,9,6,51053390
